year	state	total_votes	votes_incumbent	perc_votes_incumbent	votes_challenger	perc_votes_challenger
2012	Alabama	2074338	795696	38.4	1255925	60.5
2012	Alaska	300495	122640	40.8	164676	54.8
2012	Arizona	2299254	1025232	44.6	1233654	53.7
2012	Arkansas	1069468	394409	36.9	647744	60.6
2012	California	13038547	7854285	60.2	4839958	37.1
2012	Colorado	2569520	1323101	51.5	1185243	46.1
2012	Connecticut	1558960	905083	58.1	634892	40.7
2012	Delaware	413921	242584	58.6	165484	40
2012	Dist. of Col.	293764	267070	90.9	21381	7.3
2012	Florida	8474179	4237756	50	4163447	49.1
2012	Georgia	3900050	1773827	45.5	2078688	53.3
2012	Hawaii	434697	306658	70.5	121015	27.8
2012	Idaho	652274	212787	32.6	420911	64.5
2012	Illinois	5242014	3019512	57.6	2135216	40.7
2012	Indiana	2624534	1152887	43.9	1420543	54.1
2012	Iowa	1582180	822544	52	730617	46.2
2012	Kansas	1159971	440726	38	692634	59.7
2012	Kentucky	1797212	679370	37.8	1087190	60.5
2012	Louisiana	1994065	809141	40.6	1152262	57.8
2012	Maine	713180	401306	56.3	292276	41
2012	Maryland	2707327	1677844	62	971869	35.9
2012	Massachusetts	3167767	1921290	60.7	1188314	37.5
2012	Michigan	4730961	2564569	54.2	2115256	44.7
2012	Minnesota	2936561	1546167	52.7	1320225	45
2012	Mississippi	1285584	562949	43.8	710746	55.3
2012	Missouri	2757323	1223796	44.4	1482440	53.8
2012	Montana	484048	201839	41.7	267928	55.4
2012	Nebraska	794379	302081	38	475064	59.8
2012	Nevada	1014918	531373	52.4	463567	45.7
2012	New Hampshire	710972	369561	52	329918	46.5
2012	New Jersey	3638499	2122786	58.3	1478088	40.6
2012	New Mexico	783758	415335	53	335788	42.8
2012	New York	7061925	4471871	63.4	2485432	35.2
2012	North Carolina	4505372	2178391	48.4	2270395	50.4
2012	North Dakota	322932	124966	38.7	188320	58.3
2012	Ohio	5580822	2827621	50.7	2661407	47.7
2012	Oklahoma	1334872	443547	33.2	891325	66.8
2012	Oregon	1789270	970488	54.2	754175	42.1
2012	Pennsylvania	5753670	2990274	52.1	2680434	46.7
2012	Rhode Island	446049	279677	62.7	157204	35.2
2012	South Carolina	1964118	865941	44.1	1071645	54.6
2012	South Dakota	363815	145039	39.9	210610	57.9
2012	Tennessee	2458577	960709	39.1	1462330	59.5
2012	Texas	7993851	3308124	41.4	4569843	57.2
2012	Utah	1017440	251813	24.7	740600	72.8
2012	Vermont	299290	199239	66.6	92698	31
2012	Virginia	3854490	1971820	51.2	1822522	47.3
2012	Washington	3125516	1755396	56.2	1290670	41.3
2012	West Virginia	670438	238269	35.5	417655	62.3
2012	Wisconsin	3071434	1620985	52.9	1410966	46
2012	Wyoming	249061	69286	27.8	170962	68.6
