year	state	total_votes	votes_incumbent	perc_votes_incumbent	votes_challenger	perc_votes_challenger
1964	Alabama	689818	NA	NA	479085	69.5
1964	Alaska	67259	44329	65.9	22930	34.1
1964	Arizona	480770	237753	49.5	242535	50.4
1964	Arkansas	560426	314197	56.1	243264	43.4
1964	California	7057586	4171877	59.1	2879108	40.8
1964	Colorado	776986	476024	61.3	296767	38.2
1964	Connecticut	1218578	826269	67.8	390996	32.1
1964	Delaware	201320	122704	60.9	78078	38.8
1964	Dist. of Col.	198597	169796	85.5	28801	14.5
1964	Florida	1854481	948540	51.1	905941	48.9
1964	Georgia	1139335	522556	45.9	616584	54.1
1964	Hawaii	207271	163249	78.8	44022	21.2
1964	Idaho	292477	148920	50.9	143557	49.1
1964	Illinois	4702841	2796833	59.5	1905946	40.5
1964	Indiana	2091606	1170848	56	911118	43.6
1964	Iowa	1184539	733030	61.9	449148	37.9
1964	Kansas	857901	464028	54.1	386579	45.1
1964	Kentucky	1046105	669659	64	372977	35.7
1964	Louisiana	896293	387068	43.2	509225	56.8
1964	Maine	380965	262264	68.8	118701	31.2
1964	Maryland	1116457	730912	65.5	385495	34.5
1964	Massachusetts	2344798	1786422	76.2	549727	23.4
1964	Michigan	3203102	2136615	66.7	1060152	33.1
1964	Minnesota	1554462	991117	63.8	559624	36
1964	Mississippi	409146	52618	12.9	356528	87.1
1964	Missouri	1817879	1164344	64	653535	36
1964	Montana	278628	164246	58.9	113032	40.6
1964	Nebraska	584154	307307	52.6	276847	47.4
1964	Nevada	135433	79339	58.6	56094	41.4
1964	New Hampshire	288093	184064	63.9	104029	36.1
1964	New Jersey	2847663	1868231	65.6	964174	33.9
1964	New Mexico	328645	194015	59	132838	40.4
1964	New York	7166275	4913102	68.6	2243559	31.3
1964	North Carolina	1424983	800139	56.2	624844	43.8
1964	North Dakota	258389	149784	58	108207	41.9
1964	Ohio	3969196	2498331	62.9	1470865	37.1
1964	Oklahoma	932499	519834	55.7	412665	44.3
1964	Oregon	786305	501017	63.7	282779	36
1964	Pennsylvania	4822690	3130954	64.9	1673657	34.7
1964	Rhode Island	390091	315463	80.9	74615	19.1
1964	South Carolina	524779	215723	41.1	309048	58.9
1964	South Dakota	293118	163010	55.6	130108	44.4
1964	Tennessee	1143946	634947	55.5	508965	44.5
1964	Texas	2626811	1663185	63.3	958566	36.5
1964	Utah	401413	219628	54.7	181785	45.3
1964	Vermont	163089	108127	66.3	54942	33.7
1964	Virginia	1042267	558038	53.5	481334	46.2
1964	Washington	1258556	779881	62	470366	37.4
1964	West Virginia	792040	538087	67.9	253953	32.1
1964	Wisconsin	1691815	1050424	62.1	638495	37.7
1964	Wyoming	142716	80718	56.6	61998	43.4
