year	state	total_votes	votes_incumbent	perc_votes_incumbent	votes_challenger	perc_votes_challenger
1980	Alabama	1341929	636730	47.4	654192	48.8
1980	Alaska	158445	41842	26.4	86112	54.3
1980	Arizona	873945	246843	28.2	529688	60.6
1980	Arkansas	837582	398041	47.5	403164	48.1
1980	California	8587063	3083661	35.9	4524858	52.7
1980	Colorado	1184415	367973	31.1	652264	55.1
1980	Connecticut	1406285	541732	38.5	677210	48.2
1980	Delaware	235900	105754	44.8	111252	47.2
1980	Dist. of Col.	175237	131113	74.8	23545	13.4
1980	Florida	3686930	1419475	38.5	2046951	55.5
1980	Georgia	1596695	890733	55.8	654168	41
1980	Hawaii	303287	135879	44.8	130112	42.9
1980	Idaho	437431	110192	25.2	290699	66.5
1980	Illinois	4749721	1981413	41.7	2358049	49.6
1980	Indiana	2242033	844197	37.7	1255656	56
1980	Iowa	1317661	508672	38.6	676026	51.3
1980	Kansas	979795	326150	33.3	566812	57.9
1980	Kentucky	1294627	616417	47.6	635274	49.1
1980	Louisiana	1548591	708453	45.7	792853	51.2
1980	Maine	523011	220974	42.3	238522	45.6
1980	Maryland	1540496	726161	47.1	680606	44.2
1980	Massachusetts	2522890	1053802	41.7	1057631	41.9
1980	Michigan	3909725	1661532	42.5	1915225	49
1980	Minnesota	2051980	954174	46.5	873268	42.6
1980	Mississippi	892620	429281	48.1	441089	49.4
1980	Missouri	2099824	931182	44.3	1074181	51.2
1980	Montana	363952	118032	32.4	206814	56.8
1980	Nebraska	640854	166851	26	419937	65.5
1980	Nevada	247885	66666	26.9	155017	62.5
1980	New Hampshire	383990	108864	28.4	221705	57.7
1980	New Jersey	2975684	1147364	38.6	1546557	52
1980	New Mexico	456971	167826	36.7	250779	54.9
1980	New York	6201959	2728372	44	2893831	46.7
1980	North Carolina	1855833	875635	47.2	915018	49.3
1980	North Dakota	301545	79189	26.3	193695	64.2
1980	Ohio	4283603	1752414	40.9	2206545	51.5
1980	Oklahoma	1149708	402026	35	695570	60.5
1980	Oregon	1181516	456890	38.7	571044	48.3
1980	Pennsylvania	4561501	1937540	42.5	2261872	49.6
1980	Rhode Island	416072	198342	47.7	154793	37.2
1980	South Carolina	894071	430385	48.1	441841	49.4
1980	South Dakota	327703	103855	31.7	198343	60.5
1980	Tennessee	1617616	783051	48.4	787761	48.7
1980	Texas	4541636	1881147	41.4	2510705	55.3
1980	Utah	604222	124266	20.6	439687	72.8
1980	Vermont	213299	81952	38.4	94628	44.4
1980	Virginia	1866032	752174	40.3	989609	53
1980	Washington	1742394	650193	37.3	865244	49.7
1980	West Virginia	737715	367462	49.8	334206	45.3
1980	Wisconsin	2273221	981584	43.2	1088845	47.9
1980	Wyoming	176713	49427	28	110700	62.6
