year	state	total_votes	votes_incumbent	perc_votes_incumbent	votes_challenger	perc_votes_challenger
1972	Alabama	1006111	728701	72.4	256923	25.5
1972	Alaska	95219	55349	58.1	32967	34.6
1972	Arizona	622926	402812	64.7	198540	31.9
1972	Arkansas	651320	448541	68.9	199892	30.7
1972	California	8367862	4602096	55	3475847	41.5
1972	Colorado	953884	597189	62.6	329980	34.6
1972	Connecticut	1384277	810763	58.6	555498	40.1
1972	Delaware	235516	140357	59.6	92283	39.2
1972	Dist. of Col.	163421	35226	21.6	127627	78.1
1972	Florida	2583283	1857759	71.9	718117	27.8
1972	Georgia	1174772	881496	75	289529	24.6
1972	Hawaii	270274	168865	62.5	101409	37.5
1972	Idaho	310379	199384	64.2	80826	26
1972	Illinois	4723236	2788179	59	1913472	40.5
1972	Indiana	2125529	1405154	66.1	708568	33.3
1972	Iowa	1225944	706207	57.6	496206	40.5
1972	Kansas	916095	619812	67.7	270287	29.5
1972	Kentucky	1067499	676446	63.4	371159	34.8
1972	Louisiana	1051491	686852	65.3	298142	28.4
1972	Maine	417042	256458	61.5	160584	38.5
1972	Maryland	1353812	829305	61.3	505781	37.4
1972	Massachusetts	2458756	1112078	45.2	1332540	54.2
1972	Michigan	3489727	1961721	56.2	1459435	41.8
1972	Minnesota	1741652	898269	51.6	802346	46.1
1972	Mississippi	645963	505125	78.2	126782	19.6
1972	Missouri	1855803	1153852	62.2	697147	37.6
1972	Montana	317603	183976	57.9	120197	37.8
1972	Nebraska	576289	406298	70.5	169991	29.5
1972	Nevada	181766	115750	63.7	66016	36.3
1972	New Hampshire	334055	213724	64	116435	34.9
1972	New Jersey	2997229	1845502	61.6	1102211	36.8
1972	New Mexico	386241	235606	61	141084	36.5
1972	New York	7165919	4192778	58.5	2951084	41.2
1972	North Carolina	1518612	1054889	69.5	438705	28.9
1972	North Dakota	280514	174109	62.1	100384	35.8
1972	Ohio	4094787	2441827	59.6	1558889	38.1
1972	Oklahoma	1029900	759025	73.7	247147	24
1972	Oregon	927946	486686	52.4	392760	42.3
1972	Pennsylvania	4592106	2714521	59.1	1796951	39.1
1972	Rhode Island	415808	220383	53	194645	46.8
1972	South Carolina	673960	477044	70.8	186824	27.7
1972	South Dakota	307415	166476	54.2	139945	45.5
1972	Tennessee	1201182	813147	67.7	357293	29.7
1972	Texas	3471281	2298896	66.2	1154289	33.3
1972	Utah	478476	323643	67.6	126284	26.4
1972	Vermont	186947	117149	62.7	68174	36.5
1972	Virginia	1457019	988493	67.8	438887	30.1
1972	Washington	1470847	837135	56.9	568334	38.6
1972	West Virginia	762399	484964	63.6	277435	36.4
1972	Wisconsin	1852890	989430	53.4	810174	43.7
1972	Wyoming	145570	100464	69	44358	30.5
