year	state	total_votes	votes_incumbent	perc_votes_incumbent	votes_challenger	perc_votes_challenger
2004	Alabama	1883449	1176394	62.5	693933	36.8
2004	Alaska	312598	190889	61.1	111025	35.5
2004	Arizona	2012585	1104294	54.9	893524	44.4
2004	Arkansas	1054945	572898	54.3	469953	44.5
2004	California	12421852	5509826	44.4	6745485	54.3
2004	Colorado	2130330	1101255	51.7	1001732	47
2004	Connecticut	1578769	693826	43.9	857488	54.3
2004	Delaware	375190	171660	45.8	200152	53.3
2004	Dist. of Col.	227586	21256	9.3	202970	89.2
2004	Florida	7609810	3964522	52.1	3583544	47.1
2004	Georgia	3301875	1914254	58	1366149	41.4
2004	Hawaii	429013	194191	45.3	231708	54
2004	Idaho	598447	409235	68.4	181098	30.3
2004	Illinois	5274322	2345946	44.5	2891550	54.8
2004	Indiana	2468002	1479438	59.9	969011	39.3
2004	Iowa	1506908	751957	49.9	741898	49.2
2004	Kansas	1187756	736456	62	434993	36.6
2004	Kentucky	1795882	1069439	59.5	712733	39.7
2004	Louisiana	1943106	1102169	56.7	820299	42.2
2004	Maine	740752	330201	44.6	396842	53.6
2004	Maryland	2386678	1024703	42.9	1334493	55.9
2004	Massachusetts	2912388	1071109	36.8	1803800	61.9
2004	Michigan	4839252	2313746	47.8	2479183	51.2
2004	Minnesota	2828387	1346695	47.6	1445014	51.1
2004	Mississippi	1152145	684981	59.5	458094	39.8
2004	Missouri	2731364	1455713	53.3	1259171	46.1
2004	Montana	450445	266063	59.1	173710	38.6
2004	Nebraska	778186	512814	65.9	254328	32.7
2004	Nevada	829587	418690	50.5	397190	47.9
2004	New Hampshire	677738	331237	48.9	340511	50.2
2004	New Jersey	3611691	1670003	46.2	1911430	52.9
2004	New Mexico	756304	376930	49.8	370942	49
2004	New York	7391036	2962567	40.1	4314280	58.4
2004	North Carolina	3501007	1961166	56	1525849	43.6
2004	North Dakota	312833	196651	62.9	111052	35.5
2004	Ohio	5627908	2859768	50.8	2741167	48.7
2004	Oklahoma	1463758	959792	65.6	503966	34.4
2004	Oregon	1836782	866831	47.2	943163	51.3
2004	Pennsylvania	5769590	2793847	48.4	2938095	50.9
2004	Rhode Island	437134	169046	38.7	259765	59.4
2004	South Carolina	1617730	937974	58	661699	40.9
2004	South Dakota	388215	232584	59.9	149244	38.4
2004	Tennessee	2437319	1384375	56.8	1036477	42.5
2004	Texas	7410765	4526917	61.1	2832704	38.2
2004	Utah	927844	663742	71.5	241199	26
2004	Vermont	312309	121180	38.8	184067	58.9
2004	Virginia	3198367	1716959	53.7	1454742	45.5
2004	Washington	2859084	1304894	45.6	1510201	52.8
2004	West Virginia	755887	423778	56.1	326541	43.2
2004	Wisconsin	2997007	1478120	49.3	1489504	49.7
2004	Wyoming	243428	167629	68.9	70776	29.1
