year	state	total_votes	votes_incumbent	perc_votes_incumbent	votes_challenger	perc_votes_challenger
1984	Alabama	1441713	872849	60.5	551899	38.3
1984	Alaska	207605	138377	66.7	62007	29.9
1984	Arizona	1025897	681416	66.4	333854	32.5
1984	Arkansas	884406	534774	60.5	338646	38.3
1984	California	9505423	5467009	57.5	3922519	41.3
1984	Colorado	1295380	821817	63.4	454975	35.1
1984	Connecticut	1466900	890877	60.7	569597	38.8
1984	Delaware	254572	152190	59.8	101656	39.9
1984	Dist. of Col.	211288	29009	13.7	180408	85.4
1984	Florida	4180051	2730350	65.3	1448816	34.7
1984	Georgia	1776120	1068722	60.2	706628	39.8
1984	Hawaii	335846	185050	55.1	147154	43.8
1984	Idaho	411144	297523	72.4	108510	26.4
1984	Illinois	4819088	2707103	56.2	2086499	43.3
1984	Indiana	2233069	1377230	61.7	841481	37.7
1984	Iowa	1319805	703088	53.3	605620	45.9
1984	Kansas	1021991	677296	66.3	333149	32.6
1984	Kentucky	1369345	821702	60	539539	39.4
1984	Louisiana	1706822	1037299	60.8	651586	38.2
1984	Maine	553144	336500	60.8	214515	38.8
1984	Maryland	1675873	879918	52.5	787935	47
1984	Massachusetts	2559453	1310936	51.2	1239606	48.4
1984	Michigan	3801658	2251571	59.2	1529638	40.2
1984	Minnesota	2084449	1032603	49.5	1036364	49.7
1984	Mississippi	941104	582377	61.9	352192	37.4
1984	Missouri	2122783	1274188	60	848583	40
1984	Montana	384377	232450	60.5	146742	38.2
1984	Nebraska	652090	460054	70.6	187866	28.8
1984	Nevada	286667	188770	65.8	91655	32
1984	New Hampshire	389066	267051	68.6	120395	30.9
1984	New Jersey	3217862	1933630	60.1	1261323	39.2
1984	New Mexico	514370	307101	59.7	201769	39.2
1984	New York	6806810	3664763	53.8	3119609	45.8
1984	North Carolina	2175361	1346481	61.9	824287	37.9
1984	North Dakota	308971	200336	64.8	104429	33.8
1984	Ohio	4547619	2678560	58.9	1825440	40.1
1984	Oklahoma	1255676	861530	68.6	385080	30.7
1984	Oregon	1226527	685700	55.9	536479	43.7
1984	Pennsylvania	4844903	2584323	53.3	2228131	46
1984	Rhode Island	410492	212080	51.7	197106	48
1984	South Carolina	968529	615539	63.6	344459	35.6
1984	South Dakota	317867	200267	63	116113	36.5
1984	Tennessee	1711994	990212	57.8	711714	41.6
1984	Texas	5397571	3433428	63.6	1949276	36.1
1984	Utah	629656	469105	74.5	155369	24.7
1984	Vermont	234561	135865	57.9	95730	40.8
1984	Virginia	2146635	1337078	62.3	796250	37.1
1984	Washington	1883910	1051670	55.8	807352	42.9
1984	West Virginia	735742	405483	55.1	328125	44.6
1984	Wisconsin	2211689	1198584	54.2	995740	45
1984	Wyoming	188968	133241	70.5	53370	28.2
