year	state	total_votes	votes_incumbent	perc_votes_incumbent	votes_challenger	perc_votes_challenger
1996	Alabama	1534349	662165	43.2	769044	50.1
1996	Alaska	241620	80380	33.3	122746	50.8
1996	Arizona	1404405	653288	46.5	622073	44.3
1996	Arkansas	884262	475171	53.7	325416	36.8
1996	California	10019484	5119835	51.1	3828380	38.2
1996	Colorado	1510704	671152	44.4	691848	45.8
1996	Connecticut	1392614	735740	52.8	483109	34.7
1996	Delaware	270845	140355	51.8	99062	36.6
1996	Dist. of Col.	185726	158220	85.2	17339	9.3
1996	Florida	5303794	2546870	48	2244536	42.3
1996	Georgia	2299071	1053849	45.8	1080843	47
1996	Hawaii	360120	205012	56.9	113943	31.6
1996	Idaho	491719	165443	33.6	256595	52.2
1996	Illinois	4311391	2341744	54.3	1587021	36.8
1996	Indiana	2135431	887424	41.6	1006693	47.1
1996	Iowa	1234075	620258	50.3	492644	39.9
1996	Kansas	1074300	387659	36.1	583245	54.3
1996	Kentucky	1388708	636614	45.8	623283	44.9
1996	Louisiana	1783959	927837	52	712586	39.9
1996	Maine	605897	312788	51.6	186378	30.8
1996	Maryland	1780870	966207	54.3	681530	38.3
1996	Massachusetts	2556786	1571763	61.5	718107	28.1
1996	Michigan	3848844	1989653	51.7	1481212	38.5
1996	Minnesota	2192640	1120438	51.1	766476	35
1996	Mississippi	893857	394022	44.1	439838	49.2
1996	Missouri	2158065	1025935	47.5	890016	41.2
1996	Montana	407261	167922	41.3	179652	44.1
1996	Nebraska	677415	236761	35	363467	53.7
1996	Nevada	464279	203974	43.9	199244	42.9
1996	New Hampshire	499175	246214	49.3	196532	39.4
1996	New Jersey	3075807	1652329	53.7	1103078	35.9
1996	New Mexico	556074	273495	49.2	232751	41.9
1996	New York	6316129	3756177	59.5	1933492	30.6
1996	North Carolina	2515807	1107849	44	1225938	48.7
1996	North Dakota	266411	106905	40.1	125050	46.9
1996	Ohio	4534434	2148222	47.4	1859883	41
1996	Oklahoma	1206713	488105	40.4	582315	48.3
1996	Oregon	1377760	649641	47.2	538152	39.1
1996	Pennsylvania	4506118	2215819	49.2	1801169	40
1996	Rhode Island	390284	233050	59.7	104683	26.8
1996	South Carolina	1151689	506283	44	573458	49.8
1996	South Dakota	323826	139333	43	150543	46.5
1996	Tennessee	1894105	909146	48	863530	45.6
1996	Texas	5611644	2459683	43.8	2736167	48.8
1996	Utah	665629	221633	33.3	361911	54.4
1996	Vermont	258449	137894	53.4	80352	31.1
1996	Virginia	2416642	1091060	45.1	1138350	47.1
1996	Washington	2253837	1123323	49.8	840712	37.3
1996	West Virginia	636459	327812	51.5	233946	36.8
1996	Wisconsin	2196169	1071971	48.8	845029	38.5
1996	Wyoming	211571	77934	36.8	105388	49.8
